entidad,ods_4_finalizacion_prim_sec_prep,ods_8_empleo_informal,ods_9_investigadores_millón,ods_10_pobreza_50_mediana,ods_11_vivienda_precaria
Aguascalientes,0.68,42.60,332,8.33,5.14
Baja_California,0.70,37.60,250,3.35,11.35
Baja_California_Sur,0.74,38.60,387,3.43,12.36
Campeche,0.63,61.10,394,21.28,10.54
Coahuila,0.65,33.30,317,7.28,6.73
Colima,0.76,48.60,234,5.22,7.87
Chiapas,0.49,74.90,451,44.97,21.86
Chihuahua,0.63,36.20,111,6.82,8.28
Ciudad_de_México,0.72,45.70,251,6.01,12.83
Durango,0.59,54.40,1188,16.92,4.14
Guanajuato,0.58,53.80,195,12.07,7.51
Guerrero,0.56,75.70,216,33.97,31.30
Hidalgo,0.73,71.30,99,17.69,9.79
Jalisco,0.64,49.00,247,5.49,8.52
México,0.77,54.50,324,14.81,12.48
Michoacán,0.53,68.50,143,17.07,11.17
Morelos,0.65,64.70,228,14.72,14.87
Nayarit,0.67,56.20,682,13.10,3.87
Nuevo_León,0.64,35.40,182,4.66,5.99
Oaxaca,0.52,80.10,313,34.22,25.09
Puebla,0.70,72.10,133,24.19,15.62
Querétaro,0.65,40.70,251,6.99,6.17
Quintana_Roo,0.71,44.70,435,9.05,12.97
San_Luis_Potosí,0.68,56.40,124,18.95,6.66
Sinaloa,0.71,47.60,346,6.35,5.29
Sonora,0.67,45.60,300,7.22,10.23
Tabasco,0.70,67.00,387,23.21,14.52
Tamaulipas,0.72,45.90,204,9.58,5.26
Tlaxcala,0.68,70.30,167,20.59,11.56
Veracruz_de_Ignacio_de_la_Llave,0.62,69.00,195,26.56,14.52
Yucatán,0.68,59.90,197,12.98,10.52
Zacatecas,0.65,60.60,397,22.98,6.50
